      AM	      PM	     OFF	
   33072	   33072	   33072	
   66444	   66444	   66444	
    6096	    6096	    6096	
   81288	   81288	   81288	
  139860	  139860	  139860	
   40692	   40692	   40692	
   21084	   21084	   21084	
   10716	   10716	   10716	
   59928	   59928	   59928	
   49020	   49020	   49020	
   53472	   53472	   53472	
   60984	   60984	   60984	
   35556	   35556	   35556	
  114468	  114468	  114468	
   27900	   27900	   27900	
   23472	   23472	   23472	
   85644	   85644	   85644	
  199056	  199056	  199056	
   46908	   46908	   46908	
  147480	  147480	  147480	
   18672	   18672	   18672	
   30624	   30624	   30624	
   29916	   29916	   29916	
   19728	   19728	   19728	
   17820	   17820	   17820	
   29592	   29592	   29592	
   48024	   48024	   48024	
   15876	   15876	   15876	
   16908	   16908	   16908	
   89040	   89040	   89040	
   18312	   18312	   18312	
   63624	   63624	   63624	
   29916	   29916	   29916	
   11688	   11688	   11688	
   29280	   29280	   29280	
   79512	   79512	   79512	
   11304	   11304	   11304	
   10236	   10236	   10236	
  139908	  139908	  139908	
   98160	   98160	   98160	
   12852	   12852	   12852	
  208404	  208404	  208404	
   28836	   28836	   28836	
   20328	   20328	   20328	
   22080	   22080	   22080	
   78792	   78792	   78792	
   26124	   26124	   26124	
   19776	   19776	   19776	
   25788	   25788	   25788	
   10560	   10560	   10560	
    9072	    9072	    9072	
    7764	    7764	    7764	
   13836	   13836	   13836	
   15288	   15288	   15288	
   57240	   57240	   57240	
   24612	   24612	   24612	
  256584	  256584	  256584	
   36216	   36216	   36216	
   22788	   22788	   22788	
   36960	   36960	   36960	
   21192	   21192	   21192	
  148824	  148824	  148824	
   16656	   16656	   16656	
   16488	   16488	   16488	
   26160	   26160	   26160	
   26112	   26112	   26112	
   27384	   27384	   27384	
   10416	   10416	   10416	
   25548	   25548	   25548	
   48600	   48600	   48600	
